channel_number,name,group_title,country,tvg_id,tvg_logo,url,https,resolution,score,has_epg,http_user_agent,http_referrer
001,ABC Weather in 90 Seconds,Australia,Australia,mjh-abc-90-seconds-weather,https://live-production.wcms.abc-cdn.net.au/d376e49724862f104d044ff6467f85d8?impolicy=wcms_crop_resize&cropH=630&cropW=1119&xPos=10&yPos=0&width=862&height=485,https://c.mjh.nz/weather_in_90_seconds,yes,unknown,200,yes,otg/1.5.1 (AppleTv Apple TV 4; tvOS16.0; appletv.client) libcurl/7.58.0 OpenSSL/1.0.2o zlib/1.2.11 clib/1.8.56,
002,ABC TV,Australia,Australia,mjh-abc-nsw,https://i.mjh.nz/.images/abc-nsw.png,https://c.mjh.nz/abc-nsw.m3u8,yes,unknown,200,yes,otg/1.5.1 (AppleTv Apple TV 4; tvOS16.0; appletv.client) libcurl/7.58.0 OpenSSL/1.0.2o zlib/1.2.11 clib/1.8.56,
003,ABC News in 90 Seconds,Australia,Australia,mjh-abc-90-seconds-news,https://live-production.wcms.abc-cdn.net.au/144a0dacebeb9f616c1fcd637e3b2cf2?impolicy=wcms_crop_resize&cropH=630&cropW=1119&xPos=10&yPos=0&width=862&height=485,https://c.mjh.nz/news_in_90_seconds,yes,unknown,200,yes,otg/1.5.1 (AppleTv Apple TV 4; tvOS16.0; appletv.client) libcurl/7.58.0 OpenSSL/1.0.2o zlib/1.2.11 clib/1.8.56,
004,ABC Sport in 90 Seconds,Australia,Australia,mjh-abc-90-seconds-sport,https://live-production.wcms.abc-cdn.net.au/646cb8a032c847ec21c3de0de881e4cb?impolicy=wcms_crop_resize&cropH=630&cropW=1119&xPos=10&yPos=0&width=862&height=485,https://c.mjh.nz/sport_in_90_seconds,yes,unknown,200,yes,otg/1.5.1 (AppleTv Apple TV 4; tvOS16.0; appletv.client) libcurl/7.58.0 OpenSSL/1.0.2o zlib/1.2.11 clib/1.8.56,
005,ABC Business in 90 Seconds,Australia,Australia,mjh-abc-90-seconds-business,https://live-production.wcms.abc-cdn.net.au/ae76d32898cca0be596b7f23c1bd41f2?impolicy=wcms_crop_resize&cropH=630&cropW=1119&xPos=10&yPos=0&width=862&height=485,https://c.mjh.nz/business_in_90_seconds,yes,unknown,200,yes,otg/1.5.1 (AppleTv Apple TV 4; tvOS16.0; appletv.client) libcurl/7.58.0 OpenSSL/1.0.2o zlib/1.2.11 clib/1.8.56,
006,Seinfeld,Australia,Australia,mjh-seinfeld-fast,https://imageresizer.static9.net.au/yKlUxIHgYC5cpCmL1DYpRCQ6w4o=/768x0/https%3A%2F%2Fvms-tv-images-prod.s3-ap-southeast-2.amazonaws.com%2F2024%2F04%2F585342%2Fgroup-61657.png,https://i.mjh.nz/.r/seinfeld-fast.m3u8,yes,unknown,200,yes,otg/1.5.1 (AppleTv Apple TV 4; tvOS16.0; appletv.client) libcurl/7.58.0 OpenSSL/1.0.2o zlib/1.2.11 clib/1.8.56,
007,Seven,Australia,Australia,mjh-seven-syd,https://i.mjh.nz/.images/auto-seven-syd-9608a4.png,https://i.mjh.nz/.r/seven-syd.m3u8,yes,unknown,200,yes,otg/1.5.1 (AppleTv Apple TV 4; tvOS16.0; appletv.client) libcurl/7.58.0 OpenSSL/1.0.2o zlib/1.2.11 clib/1.8.56,
009,Channel 9,Australia,Australia,mjh-channel-9-nsw,https://imageresizer.static9.net.au/lx1XIWcrYZRtnfJOqvxNn9CshDI=/768x0/https%3A%2F%2Fvms-tv-images-prod.s3-ap-southeast-2.amazonaws.com%2F2024%2F09%2F630608%2F9nine-1.png,https://i.mjh.nz/.r/channel-9-nsw.m3u8,yes,unknown,200,yes,otg/1.5.1 (AppleTv Apple TV 4; tvOS16.0; appletv.client) libcurl/7.58.0 OpenSSL/1.0.2o zlib/1.2.11 clib/1.8.56,
010,10,Australia,Australia,mjh-10-nsw,https://10play.com.au/ip/s3/2025/06/25/b18ae76555d114f7bfaf1c3bfa43dd3f-1384577.png,https://i.mjh.nz/.r/10-nsw.m3u8,yes,unknown,200,yes,otg/1.5.1 (AppleTv Apple TV 4; tvOS16.0; appletv.client) libcurl/7.58.0 OpenSSL/1.0.2o zlib/1.2.11 clib/1.8.56,
011,10 Comedy,Australia,Australia,mjh-10peach-nsw,https://10play.com.au/ip/s3/2025/06/25/443fa2a5bca1191f12efa002a2a8ef85-1384586.png,https://i.mjh.nz/.r/10peach-nsw.m3u8,yes,unknown,200,yes,otg/1.5.1 (AppleTv Apple TV 4; tvOS16.0; appletv.client) libcurl/7.58.0 OpenSSL/1.0.2o zlib/1.2.11 clib/1.8.56,
